Result_ID,Sensitivity,Country,Year,Tech,Availability,LCOE,Cost,Solar_Capacity_MW,BESS_Energy_MWh
250,Default,Australia,2019,Solar+BESS,0.25,38.73,1534812.6586,1.0,0.0
251,DR=0.08_LT=25,Australia,2019,Solar+BESS,0.25,63.87,1534812.6586,1.0,0.0
252,Default,Australia,2020,Solar+BESS,0.25,32.96,1286397.7152,1.0,0.0
253,DR=0.08_LT=25,Australia,2020,Solar+BESS,0.25,54.03,1286397.7152,1.0,0.0
254,Default,Australia,2021,Solar+BESS,0.25,30.9,1197751.7188,1.0,0.0
255,DR=0.08_LT=25,Australia,2021,Solar+BESS,0.25,50.52,1197751.7188,1.0,0.0
256,Default,Australia,2022,Solar+BESS,0.25,26.55,1010152.052,1.0,0.0
257,DR=0.08_LT=25,Australia,2022,Solar+BESS,0.25,43.09,1010152.052,1.0,0.0
258,Default,Australia,2023,Solar+BESS,0.25,27.31,1043136.6087999999,1.0,0.0
259,DR=0.08_LT=25,Australia,2023,Solar+BESS,0.25,44.4,1043136.6087999999,1.0,0.0
260,Default,Australia,2015,Coal,0.25,82.18722415829328,1690307.1428571434,,
261,DR=0.08_LT=25,Australia,2015,Coal,0.25,112.16032146201458,1690307.1428571434,,
262,Default,Australia,2016,Coal,0.25,84.33135206527002,1690307.1428571434,,
263,DR=0.08_LT=25,Australia,2016,Coal,0.25,114.30444936899133,1690307.1428571434,,
264,Default,Australia,2017,Coal,0.25,93.18707299550259,1690307.1428571434,,
265,DR=0.08_LT=25,Australia,2017,Coal,0.25,123.16017029922388,1690307.1428571434,,
266,Default,Australia,2018,Coal,0.25,85.16029392573515,1690307.1428571434,,
267,DR=0.08_LT=25,Australia,2018,Coal,0.25,115.13339122945645,1690307.1428571434,,
268,Default,Australia,2019,Coal,0.25,79.26944508852584,1690307.1428571434,,
269,DR=0.08_LT=25,Australia,2019,Coal,0.25,109.24254239224713,1690307.1428571434,,
270,Default,Australia,2020,Coal,0.25,75.95794741410725,1690307.1428571434,,
271,DR=0.08_LT=25,Australia,2020,Coal,0.25,105.93104471782854,1690307.1428571434,,
272,Default,Australia,2021,Coal,0.25,89.39170880945609,1690307.1428571434,,
273,DR=0.08_LT=25,Australia,2021,Coal,0.25,119.36480611317738,1690307.1428571434,,
274,Default,Australia,2022,Coal,0.25,121.21809625131654,1690307.1428571434,,
275,DR=0.08_LT=25,Australia,2022,Coal,0.25,151.19119355503784,1690307.1428571434,,
276,Default,Australia,2023,Coal,0.25,96.48552590247934,1690307.1428571434,,
277,DR=0.08_LT=25,Australia,2023,Coal,0.25,126.45862320620064,1690307.1428571434,,
278,Default,Australia,2024,Coal,0.25,91.53867764666538,1690307.1428571434,,
279,DR=0.08_LT=25,Australia,2024,Coal,0.25,121.51177495038667,1690307.1428571434,,
