Result_ID,Country,Year,Tech,Availability,Component,Value
44,United Kingdom,2030,Solar+BESS,0.15,BESS Power CAPEX,0.0
44,United Kingdom,2030,Solar+BESS,0.15,Augmentation,0.0
44,United Kingdom,2030,Solar+BESS,0.15,Opex,6.114648401826483
44,United Kingdom,2030,Solar+BESS,0.15,Total,32.461088858053245
46,United Kingdom,2024,Solar+BESS,0.2,Solar CAPEX,64.02195181341013
46,United Kingdom,2024,Solar+BESS,0.2,BESS Energy CAPEX,0.0
46,United Kingdom,2024,Solar+BESS,0.2,BESS Power CAPEX,0.0
46,United Kingdom,2024,Solar+BESS,0.2,Augmentation,0.0
46,United Kingdom,2024,Solar+BESS,0.2,Opex,6.6380502283105
46,United Kingdom,2024,Solar+BESS,0.2,Total,70.66000204172063
46,United Kingdom,2030,Solar+BESS,0.2,Solar CAPEX,28.773086287721327
46,United Kingdom,2030,Solar+BESS,0.2,BESS Energy CAPEX,0.0
46,United Kingdom,2030,Solar+BESS,0.2,BESS Power CAPEX,0.0
46,United Kingdom,2030,Solar+BESS,0.2,Augmentation,0.0
46,United Kingdom,2030,Solar+BESS,0.2,Opex,6.6380502283105
46,United Kingdom,2030,Solar+BESS,0.2,Total,35.411136516031824
48,United Kingdom,2024,Solar+BESS,0.25,Solar CAPEX,66.02745873768565
48,United Kingdom,2024,Solar+BESS,0.25,BESS Energy CAPEX,5.308926291500374
48,United Kingdom,2024,Solar+BESS,0.25,BESS Power CAPEX,3.642588344263237
48,United Kingdom,2024,Solar+BESS,0.25,Augmentation,0.10558778705082997
48,United Kingdom,2024,Solar+BESS,0.25,Opex,7.418757990867579
48,United Kingdom,2024,Solar+BESS,0.25,Total,82.50331915136766
48,United Kingdom,2030,Solar+BESS,0.25,Solar CAPEX,29.674411882276463
48,United Kingdom,2030,Solar+BESS,0.25,BESS Energy CAPEX,4.987509042119349
48,United Kingdom,2030,Solar+BESS,0.25,BESS Power CAPEX,1.5941076861506913
48,United Kingdom,2030,Solar+BESS,0.25,Augmentation,0.09918106018193479
48,United Kingdom,2030,Solar+BESS,0.25,Opex,7.418757990867579
48,United Kingdom,2030,Solar+BESS,0.25,Total,43.77396766159602
50,United Kingdom,2024,Solar+BESS,0.3,Solar CAPEX,66.07888199215425
50,United Kingdom,2024,Solar+BESS,0.3,BESS Energy CAPEX,10.766158992069506
50,United Kingdom,2024,Solar+BESS,0.3,BESS Power CAPEX,6.703374383539986
50,United Kingdom,2024,Solar+BESS,0.3,Augmentation,0.21280241890761842
50,United Kingdom,2024,Solar+BESS,0.3,Opex,7.916398782343985
50,United Kingdom,2024,Solar+BESS,0.3,Total,91.67761656901534
50,United Kingdom,2030,Solar+BESS,0.3,Solar CAPEX,29.697522794957358
50,United Kingdom,2030,Solar+BESS,0.3,BESS Energy CAPEX,10.11434560841603
50,United Kingdom,2030,Solar+BESS,0.3,BESS Power CAPEX,2.9336009502078695
50,United Kingdom,2030,Solar+BESS,0.3,Augmentation,0.199890253466316
50,United Kingdom,2030,Solar+BESS,0.3,Opex,7.916398782343985
50,United Kingdom,2030,Solar+BESS,0.3,Total,50.861758389391554
52,United Kingdom,2024,Solar+BESS,0.35,Solar CAPEX,66.11561288820326
52,United Kingdom,2024,Solar+BESS,0.35,BESS Energy CAPEX,15.036202087471445
52,United Kingdom,2024,Solar+BESS,0.35,BESS Power CAPEX,8.672829391102947
52,United Kingdom,2024,Solar+BESS,0.35,Augmentation,0.3062602962298228
52,United Kingdom,2024,Solar+BESS,0.35,Opex,8.236957599478147
52,United Kingdom,2024,Solar+BESS,0.35,Total,98.36786226248563
52,United Kingdom,2030,Solar+BESS,0.35,Solar CAPEX,29.714030589729436
52,United Kingdom,2030,Solar+BESS,0.35,BESS Energy CAPEX,14.12586834939906
52,United Kingdom,2030,Solar+BESS,0.35,BESS Power CAPEX,3.7954944908349804
52,United Kingdom,2030,Solar+BESS,0.35,Augmentation,0.2876774077771382
52,United Kingdom,2030,Solar+BESS,0.35,Opex,8.236957599478147
52,United Kingdom,2030,Solar+BESS,0.35,Total,56.16002843721876
54,United Kingdom,2024,Solar+BESS,0.4,Solar CAPEX,66.33599826449723
54,United Kingdom,2024,Solar+BESS,0.4,BESS Energy CAPEX,18.44344990194433
54,United Kingdom,2024,Solar+BESS,0.4,BESS Power CAPEX,10.149920646775167
54,United Kingdom,2024,Solar+BESS,0.4,Augmentation,0.38992197932870687
54,United Kingdom,2024,Solar+BESS,0.4,Opex,8.496069634703195
54,United Kingdom,2024,Solar+BESS,0.4,Total,103.81536042724863
54,United Kingdom,2030,Solar+BESS,0.4,Solar CAPEX,29.81307735836186
54,United Kingdom,2030,Solar+BESS,0.4,BESS Energy CAPEX,17.32683184942578
54,United Kingdom,2030,Solar+BESS,0.4,BESS Power CAPEX,4.441914646305311
54,United Kingdom,2030,Solar+BESS,0.4,Augmentation,0.36626276938110736
54,United Kingdom,2030,Solar+BESS,0.4,Opex,8.496069634703195
54,United Kingdom,2030,Solar+BESS,0.4,Total,60.44415625817726
56,United Kingdom,2024,Solar+BESS,0.45,Solar CAPEX,66.16458741626857
56,United Kingdom,2024,Solar+BESS,0.45,BESS Energy CAPEX,21.646194627520394
56,United Kingdom,2024,Solar+BESS,0.45,BESS Power CAPEX,11.21445022655117
56,United Kingdom,2024,Solar+BESS,0.45,Augmentation,0.4548419586062191
56,United Kingdom,2024,Solar+BESS,0.45,Opex,8.650797564687975
56,United Kingdom,2024,Solar+BESS,0.45,Total,108.13087179363434
56,United Kingdom,2030,Solar+BESS,0.45,Solar CAPEX,29.736040982758855
56,United Kingdom,2030,Solar+BESS,0.45,BESS Energy CAPEX,20.335673449653815
56,United Kingdom,2030,Solar+BESS,0.45,BESS Power CAPEX,4.907785237454674
56,United Kingdom,2030,Solar+BESS,0.45,Augmentation,0.4272436133932397
56,United Kingdom,2030,Solar+BESS,0.45,Opex,8.650797564687975
56,United Kingdom,2030,Solar+BESS,0.45,Total,64.05754084794856
58,United Kingdom,2024,Solar+BESS,0.5,Solar CAPEX,66.18172850109144
58,United Kingdom,2024,Solar+BESS,0.5,BESS Energy CAPEX,24.063662573980825
58,United Kingdom,2024,Solar+BESS,0.5,BESS Power CAPEX,12.141961147544125
58,United Kingdom,2024,Solar+BESS,0.5,Augmentation,0.5152744378860553
58,United Kingdom,2024,Solar+BESS,0.5,Opex,8.801748858447489
58,United Kingdom,2024,Solar+BESS,0.5,Total,111.70437551894992
58,United Kingdom,2030,Solar+BESS,0.5,Solar CAPEX,29.74374462031916
58,United Kingdom,2030,Solar+BESS,0.5,BESS Energy CAPEX,22.606781123781573
58,United Kingdom,2030,Solar+BESS,0.5,BESS Power CAPEX,5.313692287168971
58,United Kingdom,2030,Solar+BESS,0.5,Augmentation,0.4840092444553963
58,United Kingdom,2030,Solar+BESS,0.5,Opex,8.801748858447489
58,United Kingdom,2030,Solar+BESS,0.5,Total,66.94997613417259
60,United Kingdom,2024,Solar+BESS,0.55,Solar CAPEX,66.75673398287674
